Category,Model,Related Project,Product Manufacturer,Part Description,Part Number,Spec / Finish / Length ,Inventory ID,Live Stock Quantity,UOM
Beldens,,Tool Install Elec,Anixter Distribution Ireland Ltd,Belden,28327A,,28327A,1220,Meters
Beldens,,Tool Install Elec,Anixter Distribution Ireland Ltd,Belden,4200ULW,,4200ULW,0,Meters
Beldens,,Tool Install Elec,Anixter Distribution Ireland Ltd,Belden,4300ULW,,4300ULW,1890,Meters
Beldens,,Tool Install Elec,Anixter Distribution Ireland Ltd,Belden,4302ULW,,4302ULW,5920,Meters
Beldens,,Tool Install Elec,Anixter Distribution Ireland Ltd,Belden,4305ULW,,4305ULW,1500,Meters
Beldens,,Tool Install Elec,Anixter Distribution Ireland Ltd,Belden,4309ULW,,4309ULW,0,Meters
Beldens,,Tool Install Elec,Anixter Distribution Ireland Ltd,Belden,8205,,8205,1830,Meters
Beldens,,Tool Install Elec,Anixter Distribution Ireland Ltd,Belden,82489,,82489,610,Meters
Beldens,,Tool Install Elec,Anixter Distribution Ireland Ltd,Belden,83653,,83653,305,Meters
Beldens,,Tool Install Elec,Anixter Distribution Ireland Ltd,Belden,85220,,85220,610,Meters
Beldens,,Tool Install Elec,Anixter Distribution Ireland Ltd,Belden,8677,,8677,305,Meters
Beldens,,Tool Install Elec,Anixter Distribution Ireland Ltd,Belden,8770ELW,,8770ELW,3050,Meters
Beldens,,Tool Install Elec,Anixter Distribution Ireland Ltd,Belden,8770NH,,8770NH,3344,Meters
Beldens,,Tool Install Elec,Anixter Distribution Ireland Ltd,Belden,9501NH,,9501NH,500,Meters
Beldens,,Tool Install Elec,Anixter Distribution Ireland Ltd,Belden,9841,,9841,305,Meters
Cables,Gland,Tool Install Elec,ETS Cable Components Ireland Ltd,Gland Brass Cable A2 100 Metric,100A21RA,,100A21RA,0,Meters
Cables,Gland,Tool Install Elec,ETS Cable Components Ireland Ltd,Gland Brass Cable A2 115 Metric,115A21RA,,115A21RA,0,Meters
Cables,Gland,Tool Install Elec,ETS Cable Components Ireland Ltd,Gland Brass Cable A2 130 Metric,130A21RA,,130A21RA,0,Meters
Cables,Gland,Tool Install Elec,ETS Cable Components Ireland Ltd,Gland Brass Cable A2 20 Metric,20A21RA,,20A21RA,0,Meters
Cables,Gland,Tool Install Elec,ETS Cable Components Ireland Ltd,Gland Brass Cable A2 20S16 Metric,20S16A21RA,,20S16A21RA,0,Meters
Cables,Gland,Tool Install Elec,ETS Cable Components Ireland Ltd,Gland Brass Cable A2 20S Metric,20SA21RA,,20SA21RA,0,Meters
Cables,Gland,Tool Install Elec,ETS Cable Components Ireland Ltd,Gland Brass Cable A2 25 Metric,25A21RA,,25A21RA,0,Meters
Cables,Gland,Tool Install Elec,ETS Cable Components Ireland Ltd,Gland Brass Cable A2 32 Metric,32A21RA,,32A21RA,10,Meters
Cables,Gland,Tool Install Elec,ETS Cable Components Ireland Ltd,Gland Brass Cable A2 40 Metric,40A21RA,,40A21RA,130,Meters
Cables,Gland,Tool Install Elec,ETS Cable Components Ireland Ltd,Gland Brass Cable A2 50 Metric,50A21RA,,50A21RA,80,Meters
